Year Month,Monthly price of a THFB
01/04/21,2942
01/05/21,3007
01/07/21,2932
01/08/21,2939
01/09/21,2864
01/10/21,2931
01/12/21,2976
01/01/22,2997
01/02/22,3117
01/03/22,3092
01/04/22,3098
01/05/22,3172
01/06/22,3184
01/07/22,3261
01/08/22,3270
01/09/22,3288
01/10/22,3298
01/12/22,3352
01/01/23,3415
01/02/23,3504
01/03/23,3566
01/04/23,3603
01/05/23,3614
01/06/23,3582
01/07/23,3552
01/08/23,3524
01/09/23,3576
01/10/23,3643
01/11/23,3701
01/12/23,3695
01/01/24,3737
01/02/24,3734
01/03/24,3781
01/04/24,3812
01/05/24,3852
01/06/24,3795
01/07/24,3761
01/08/24,3771
01/09/24,3782
01/10/24,3789
01/11/24,3803
01/12/24,3833
01/01/25,3870
01/02/25,3889
01/03/25,3909
01/04/25,3957
01/05/25,3979
01/06/25,3988
01/07/25,3963
01/08/25,3898
01/09/25,3821
